time,value
21.21094,0.01111746
21.22762,0.01123854
21.24407,0.01121677
21.26064,0.01119677
21.28405,0.01117393
21.31756,0.01123989
21.35387,0.01120159
21.38751,0.01120928
21.42052,0.01117458
21.45348,0.01113281
21.46984,0.01111893
21.48646,0.01109009
21.52779,0.01105051
21.56141,0.01114302
21.62138,0.01111053
21.68765,0.0114847
21.70432,0.01160589
21.73735,0.01190781
21.75392,0.0118749
21.77048,0.01182737
21.78729,0.01178993
21.80439,0.01175261
21.85324,0.01169378
21.88621,0.01186781
21.91904,0.01178911
21.9357,0.01175835
21.95252,0.01171085
21.99037,0.01164728
22.02351,0.01165543
22.04066,0.01163261
22.05664,0.01158882
22.07321,0.01156584
22.0906,0.01152502
22.12291,0.01147797
22.16755,0.0114076
22.18408,0.01155979
22.20065,0.01152929
22.2365,0.01146906
22.26951,0.01145355
22.30886,0.01139502
22.34244,0.01143711
22.37542,0.01138773
22.40865,0.01133265
22.42566,0.01131372
22.44948,0.01128233
22.48811,0.01135399
22.50459,0.01141239
22.52157,0.01138704
22.55456,0.01133802
22.57088,0.01130493
22.59583,0.01128443
22.64648,0.01136227
22.67944,0.01157862
22.71243,0.01151161
22.74521,0.01144957
22.76177,0.01141434
22.78889,0.01138634
22.80546,0.01135879
22.83859,0.0114673
22.85516,0.01144228
22.87172,0.01140806
22.88832,0.01138067
22.90486,0.01135298
22.92142,0.01132606
22.94549,0.01129925
22.97927,0.01136621
22.99526,0.01134237
23.01225,0.01132229
23.04522,0.01126911
23.07821,0.01121729
23.12518,0.0111684
23.16518,0.01133541
23.18174,0.01141579
23.19831,0.01138775
23.21512,0.01136015
23.23144,0.01133341
23.27432,0.01128004
23.29108,0.01140625
23.30745,0.01137877
23.32406,0.01135393
23.34104,0.01132257
23.37372,0.01127798
23.41309,0.01122024
23.44623,0.01126989
23.46297,0.01124475
23.47936,0.01122038
23.49595,0.01119858
23.51294,0.01117184
23.54592,0.01113399
23.61687,0.01108812
23.66284,0.01162369
23.67929,0.01178732
23.70625,0.0117522
23.72849,0.01171185
23.76178,0.01188635
23.79476,0.01180765
23.81133,0.01177555
23.82789,0.01172728
23.84473,0.01168974
23.86172,0.01165339
23.87771,0.01162241
23.89993,0.01159397
23.93307,0.01160652
23.94971,0.01157223
23.9662,0.01153807
23.98277,0.01150677
23.99969,0.01147385
24.03247,0.01141806
24.08736,0.01135387
24.10393,0.01146645
24.12056,0.0116328
24.13706,0.01159887
24.15363,0.01156532
24.17052,0.01153122
24.21002,0.01147192
24.24315,0.01150852
24.25976,0.01147707
24.27675,0.01144539
24.30972,0.01139227
24.34737,0.01133188
24.38769,0.0113472
24.40422,0.01142954
24.42079,0.01140093
24.43735,0.01136999
24.45454,0.01134119
24.48768,0.01129477
24.53429,0.01124212
24.55108,0.01122015
24.58611,0.01137451
24.61905,0.0113455
24.65178,0.0112866
24.66834,0.01125326
24.69751,0.01122671
24.71569,0.01120058
24.74898,0.01136784
24.76539,0.01133886
24.78198,0.01131264
24.81509,0.01125504
24.83165,0.01123474
24.85228,0.01120314
24.88589,0.01121555
24.91854,0.0111729
24.93511,0.01114088
24.95185,0.01111727
24.98483,0.01107418
25.02963,0.01102802
25.05793,0.01116522
25.07478,0.01106672
25.09106,0.01104336
25.10804,0.01102671
25.12419,0.01100183
25.14076,0.01098694
25.16832,0.01096054
25.18501,0.01094112
25.20145,0.01109289
25.21802,0.01107225
25.25115,0.01102632
25.26794,0.01101114
25.28428,0.01098457
25.30094,0.01096683
25.32697,0.01094429
25.34354,0.01092606
25.36011,0.01105349
25.37687,0.01103249
25.39324,0.01101055
25.40984,0.01099323
25.44383,0.01094995
25.48979,0.01092438
25.52293,0.01108343
25.56378,0.01103849
25.60914,0.01111153
25.64357,0.01107971
25.66014,0.01125362
25.67671,0.01150358
25.6937,0.01147121
25.72641,0.01141281
25.75964,0.01134417
25.77611,0.01132977
25.7987,0.01128605
25.83184,0.01132154
25.84858,0.01129797
25.86912,0.01126404
25.90225,0.01127182
25.91908,0.01124403
25.93603,0.01121632
25.97913,0.01117405
26.01798,0.01127352
26.05106,0.01130321
26.06796,0.01128027
26.08419,0.01124483
26.10093,0.01122204
26.13138,0.0111899
26.14795,0.01116596
26.16452,0.01135386
26.18235,0.01132502
26.21585,0.0112854
26.24888,0.01123407
26.28792,0.0111784
26.32105,0.01121653
26.33779,0.01119465
26.35478,0.01116323
26.37076,0.01113995
26.38778,0.01112041
26.42635,0.01106951
26.46572,0.01110624
26.48225,0.01117756
26.49882,0.01115162
26.53267,0.01109962
26.54873,0.01108221
26.56509,0.01106264
26.58218,0.01103083
26.61156,0.01100466
26.62813,0.01099112
26.66126,0.01113991
26.67783,0.0111286
26.69458,0.01108896
26.71096,0.01106371
26.72755,0.01104315
26.76571,0.01099451
26.79905,0.01102694
26.81541,0.01100895
26.83204,0.01098551
26.84855,0.01095997
26.86604,0.01093912
26.89902,0.01091139
26.94996,0.01086933
26.98251,0.0110992
26.99907,0.01106529
27.01564,0.01104074
27.0489,0.01099338
27.09087,0.01095072
27.12385,0.01104149
27.15647,0.01099226
27.17303,0.01096176
27.18985,0.01093998
27.23188,0.01090103
27.24878,0.01088686
27.28176,0.01097984
27.29875,0.0109647
27.31474,0.01093296
27.33129,0.01091787
27.34785,0.01088865
27.40316,0.01084745
27.42107,0.01099766
27.4542,0.01114031
27.47077,0.01111351
27.48763,0.01108707
27.5039,0.01106159
27.52061,0.01104082
27.62057,0.01099075
27.63704,0.01198753
27.66644,0.01194668
27.68932,0.01189806
27.72248,0.01209511
27.73903,0.01204437
27.7559,0.01199488
27.78903,0.01190268
27.8056,0.01185675
27.82243,0.01181091
27.86441,0.0117271
27.9014,0.01177727
27.93438,0.01174929
27.95093,0.01171164
27.96749,0.01166147
28.00588,0.011581
28.03902,0.01158514
28.05558,0.01154625
28.07229,0.01150833
28.08873,0.01147135
28.10532,0.01143789
28.12185,0.01140112
28.13842,0.01136641
28.18029,0.01130032
28.21342,0.01136803
28.22999,0.01134006
28.24655,0.01130161
28.26312,0.01126951
28.27984,0.01123863
28.31744,0.01118103
28.35069,0.01119125
28.36766,0.01117336
28.38371,0.011136
28.40063,0.01111393
28.41685,0.01107838
28.43361,0.01105761
28.45601,0.01102617
28.49532,0.0110681
28.51192,0.01113588
28.56158,0.01105688
28.57815,0.01103682
28.59556,0.01100306
28.63855,0.01096687
28.65548,0.01093052
28.68845,0.01105005
28.70482,0.01101782
28.72143,0.010996
28.73795,0.01096754
28.75452,0.01094444
28.80376,0.01089724
28.82038,0.01095781
28.85346,0.01107008
28.87034,0.01104942
28.88708,0.01101635
28.92031,0.01097309
28.96553,0.01092615
28.98227,0.01090942
29.01526,0.0110404
29.03225,0.01102049
29.04836,0.01098543
29.06523,0.01096676
29.0815,0.01093517
29.09821,0.01091598
29.1263,0.01088896
29.14287,0.01086737
29.15944,0.01102072
29.17615,0.01099544
29.19257,0.01097031
29.20914,0.0109473
29.24228,0.01089775
29.25912,0.01088099
29.2917,0.01085247
29.30827,0.01083441
29.3414,0.01102953
29.35797,0.01101425
29.37456,0.01097725
29.40767,0.01092741
29.45656,0.0108802
29.47348,0.01096762
29.50647,0.01104908
29.52283,0.0110169
29.54897,0.01099308
29.56554,0.01096424
29.63219,0.01105675
29.64876,0.01124269
29.66533,0.01150495
29.68189,0.01146768
29.69846,0.01143028
29.72728,0.01139317
29.74384,0.01135641
29.78342,0.01146818
29.81721,0.01148979
29.83319,0.01145494
29.84968,0.01142334
29.86625,0.01137772
29.8832,0.01134039
29.91615,0.01127722
29.95411,0.01120815
29.98668,0.01121664
30.00325,0.01118372
30.01982,0.01114534
30.03661,0.01111494
30.05295,0.01108517
30.06955,0.0110594
30.09867,0.01102734
30.11524,0.01100038
30.13181,0.0111635
30.1485,0.01113352
30.18151,0.01107553
30.19808,0.01105333
30.21512,0.01101648
30.26456,0.01096977
30.28112,0.01118946
30.30042,0.01115828
30.34331,0.01113802
30.40314,0.01122393
30.43153,0.01120243
30.44879,0.01156162
30.48129,0.01166637
30.51436,0.01156998
30.53093,0.01153461
30.54753,0.01148664
30.58942,0.01140863
30.62321,0.01146366
30.65569,0.01139599
30.69517,0.01131235
30.73454,0.01133627
30.76768,0.01135727
30.78424,0.01132208
30.80081,0.0112859
30.83408,0.01121691
30.85107,0.01119383
30.86708,0.01115257
30.91007,0.0110874
30.92663,0.01120584
30.94402,0.01117287
30.977,0.01112165
30.99299,0.01108221
31.00947,0.01105791
31.02603,0.01101961
31.04929,0.01098957
31.08276,0.011035
31.11574,0.0109837
31.13212,0.01096189
31.14872,0.01092543
31.18182,0.01087101
31.22672,0.01082161
31.25986,0.01094698
31.27663,0.01092537
31.29362,0.01089348
31.30961,0.01087095
31.32612,0.0108515
31.34269,0.0108185
31.3672,0.01079334
31.40034,0.01086645
31.4169,0.01084156
31.43354,0.01081722
31.4666,0.01077066
31.48351,0.01075447
31.50765,0.01072428
31.56161,0.01079922
31.60643,0.0110582
31.69514,0.0111692
31.71171,0.01174936
31.74569,0.01187166
31.76244,0.01183327
31.77901,0.01178259
31.79558,0.01173672
31.8123,0.01168922
31.82871,0.01164255
31.85206,0.01159944
31.88525,0.01161005
31.90179,0.01157618
31.91833,0.01152288
31.93523,0.01147984
31.95225,0.01143814
31.98529,0.01136969
32.02592,0.01129164
32.04228,0.01136379
32.05894,0.01132801
32.09198,0.01125149
32.10854,0.01122232
32.12511,0.0111792
32.14185,0.01114531
32.17263,0.01111143
32.18982,0.0110815
32.22233,0.01123533
32.2389,0.01119093
32.25578,0.01115562
32.2886,0.01109352
32.30524,0.01105673
32.33171,0.01102531
32.34828,0.01099546
32.38141,0.01108101
32.39797,0.01105476
32.41521,0.01101673
32.44824,0.01096668
32.48979,0.01090744
32.52312,0.01097614
32.5625,0.01092047
32.59607,0.01095787
32.62905,0.01090645
32.66903,0.01084892
32.68544,0.01092176
32.70201,0.01089622
32.71858,0.0108655
32.73515,0.01083893
32.752,0.01081211
32.76828,0.01078583
32.78496,0.01076515
32.80862,0.01073582
32.84192,0.01079521
32.8749,0.01074821
32.89146,0.01072975
32.90889,0.01069706
32.94133,0.01066345
32.98647,0.01060928
33.01986,0.01074242
33.03616,0.01072979
33.05279,0.01069771
33.0693,0.01066997
33.08744,0.01064819
33.1384,0.01062675
33.15866,0.01060558
33.1918,0.01087669
33.22493,0.01082134
33.24168,0.01079948
33.25867,0.01076824
33.30415,0.01072697
33.32053,0.01088226
33.33712,0.01085762
33.37039,0.01080021
33.38709,0.01077965
33.40408,0.01074886
33.44989,0.01070732
33.48304,0.01084518
33.49959,0.01081745
33.51976,0.0107909
33.55706,0.01079113
33.64393,0.01077923
33.68874,0.01126072
33.70531,0.01121571
33.72189,0.01135673
33.73888,0.01131676
33.78921,0.01124374
33.82334,0.01141788
33.8568,0.01134781
33.88978,0.01127159
33.93781,0.0111919
33.95474,0.01116097
33.98772,0.0113031
34.02105,0.01122154
34.03769,0.01118603
34.05418,0.01114902
34.07076,0.01111339
34.09993,0.01107697
34.11665,0.01104237
34.13307,0.01119434
34.14964,0.01115967
34.1662,0.01112095
34.18277,0.01108482
34.19934,0.01105015
34.21619,0.01101574
34.26069,0.01095444
34.27726,0.01092838
34.31039,0.01102535
34.32713,0.01099659
34.34412,0.01095852
34.3601,0.01092915
34.37709,0.01090347
34.42761,0.01084023
34.44418,0.01088814
34.47731,0.01100388
34.51701,0.01093815
34.53339,0.01100021
34.55,0.01096943
34.59097,0.01090343
34.62514,0.01095451
34.65828,0.01090534
34.67491,0.01087772
34.6914,0.01084408
34.70798,0.01081516
34.72744,0.01078495
34.76057,0.01077209
34.77714,0.01074402
34.7937,0.01071712
34.82684,0.01066387
34.84341,0.01064674
34.85997,0.01061348
34.90302,0.01056625
34.91978,0.0106884
34.93675,0.01066284
34.95274,0.01064041
34.96928,0.0106216
34.98585,0.0105883
35.00271,0.01056442
35.01898,0.01054077
35.04347,0.01052303
35.07666,0.01059143
35.09317,0.01056782
35.10974,0.01054562
35.14287,0.01049927
35.15944,0.01048248
35.17612,0.01045624
35.21464,0.01041706
35.2312,0.01047619
35.24809,0.01045551
35.28105,0.01041908
35.29748,0.01039455
35.31408,0.01037723
35.33068,0.01035652
35.35407,0.01033848
35.3872,0.01040287
35.423,0.01036449
35.45594,0.01036575
35.49382,0.01032673
35.53491,0.01036007
35.57187,0.0104369
35.61687,0.01045086
35.66756,0.01057857
35.70079,0.01078335
35.71727,0.01076412
35.73383,0.01072598
35.76696,0.01066849
35.78375,0.01064774
35.80023,0.01061501
35.83904,0.01056675
35.85561,0.01062439
35.87219,0.01059917
35.88874,0.01057312
35.90617,0.01054928
35.93844,0.01051388
35.95514,0.01048172
35.98254,0.01045521
36.00013,0.01043526
36.03225,0.01056175
36.04908,0.01052876
36.06607,0.01049866
36.08208,0.01047955
36.09905,0.0104628
36.11508,0.01043285
36.14404,0.01041679
36.16061,0.01038776
36.17718,0.01054722
36.19374,0.01052383
36.21031,0.01050011
36.22697,0.0104763
36.24344,0.01045391
36.26001,0.01043243
36.30114,0.01038845
36.33491,0.01046307
36.3744,0.01042789
36.39069,0.01049454
36.40736,0.01047565
36.44387,0.01042686
36.48433,0.01043251
36.5173,0.01049324
36.53363,0.01046375
36.55029,0.01044414
36.56676,0.01041817
36.58333,0.01039734
36.60016,0.0103746
36.62478,0.01035366
36.65791,0.01043388
36.67448,0.01041222
36.69119,0.01038998
36.72418,0.01034981
36.74075,0.01033546
36.75732,0.01030704
36.8003,0.01026836
36.81712,0.01039257
36.83411,0.01037167
36.8501,0.01035442
36.86709,0.01033947
36.8997,0.01029732
36.91626,0.01026985
36.94215,0.01025089
36.95985,0.01023254
36.99309,0.01034634
37.00955,0.01032478
37.02612,0.0103064
37.06036,0.01026539
37.10471,0.01024364
37.12193,0.01022606
37.15491,0.01035828
37.18789,0.01031418
37.22087,0.01027184
37.23725,0.01024696
37.26901,0.01023151
37.28606,0.01021065
37.34322,0.01039749
37.37791,0.01069195
37.42643,0.01065445
37.443,0.01062996
37.45972,0.01081882
37.47671,0.01078632
37.4927,0.01075596
37.50927,0.01072979
37.52583,0.01069046
37.56122,0.01065956
37.60483,0.01063003
37.6726,0.01122795
37.70529,0.01163101
37.74824,0.01151749
37.76481,0.01160679
37.78152,0.01155346
37.79794,0.01150101
37.81452,0.01145195
37.83108,0.01139908
37.84764,0.01135017
37.86421,0.0113028
37.8899,0.01125607
37.90647,0.01121128
37.92303,0.01129768
37.9396,0.01125187
37.95642,0.01120674
37.97273,0.01116253
37.98939,0.01112282
38.00586,0.01107746
38.02243,0.01103729
38.05258,0.01099594
38.06935,0.01095692
38.10283,0.01107574
38.11885,0.01104095
38.13541,0.01099934
38.15198,0.01095188
38.1688,0.010914
38.20914,0.01084377
38.24227,0.01087738
38.25884,0.0108419
38.27541,0.01080612
38.29226,0.01077141
38.31403,0.0107375
38.34716,0.01075092
38.38365,0.01068535
38.40021,0.01070053
38.4172,0.01066986
38.45018,0.01061382
38.48296,0.01055256
38.53139,0.01049122
38.56464,0.01065388
38.58166,0.01063221
38.59894,0.01059376
38.63245,0.01055161
38.68013,0.01049992
38.6967,0.0104726
38.71329,0.01065323
38.72984,0.01062321
38.7465,0.01059269
38.76297,0.01056221
38.77953,0.01053394
38.7961,0.01050415
38.84587,0.01044926
38.86375,0.01043385
38.89688,0.01062256
38.91348,0.01059322
38.93038,0.01056126
38.96337,0.01050785
38.97972,0.01047447
39.00351,0.01045059
39.03665,0.01049683
39.05332,0.01047302
39.06978,0.01044212
39.08635,0.01041679
39.10328,0.01038933
39.13629,0.01034397
39.17627,0.01029419
39.20993,0.01034367
39.24306,0.01030266
39.2835,0.01025608
39.32346,0.0103141
39.3566,0.01036373
39.37344,0.01033867
39.38973,0.01031383
39.40642,0.01029438
39.42345,0.01026649
39.46199,0.01022961
39.5005,0.01026302
39.51735,0.01031662
39.53363,0.01029274
39.57323,0.01024536
39.63166,0.01029087
39.6685,0.01059715
39.70163,0.01058746
39.71824,0.0105566
39.73476,0.01052563
39.75134,0.01049618
39.76868,0.01046642
39.80951,0.0104208
39.82617,0.01050274
39.84265,0.01047325
39.85921,0.01044586
39.87578,0.01041622
39.89235,0.0103886
39.90952,0.01036171
39.9527,0.01031918
39.98584,0.01041065
40.00246,0.01038631
40.01897,0.0103561
40.03554,0.01033115
40.0521,0.01030445
40.08541,0.01025482
40.1265,0.01021015
40.15963,0.0102755
40.17636,0.01025585
40.19334,0.01022697
40.20934,0.01020588
40.22632,0.01018925
40.27846,0.01014294
40.3116,0.01036598
40.32826,0.01034367
40.34473,0.01031353
40.3613,0.01028938
40.37823,0.01026222
40.4162,0.01021923
40.44934,0.01024136
40.4659,0.01022324
40.48247,0.0101939
40.49916,0.0101709
40.51619,0.01014824
40.55882,0.01011345
40.58474,0.01008392
40.60154,0.01020641
40.61788,0.01031525
40.63447,0.01029297
40.66846,0.01023899
40.70071,0.01020317
40.71741,0.01017178
40.73796,0.01014404
40.77137,0.01015816
40.78767,0.01013592
40.80436,0.01011768
40.83737,0.01007301
40.85393,0.01005917
40.8705,0.01003067
40.91032,0.009992218
40.92673,0.01006535
40.9433,0.0100478
40.97643,0.01000542
40.993,0.009991912
41.00957,0.009968108
41.04973,0.009932327
41.08286,0.009996491
41.10016,0.009982452
41.116,0.009958877
41.13317,0.009951248
41.14913,0.009922829
41.1657,0.009914551
41.19238,0.009888992
41.22066,0.009872093
41.23723,0.009997902
41.25407,0.01014397
41.27036,0.01012161
41.28705,0.01010303
41.304,0.01007668
41.33714,0.01004192
41.37899,0.01000053
41.41196,0.01008213
41.42835,0.01005562
41.44495,0.01003685
41.46148,0.01001404
41.47805,0.009994507
41.52779,0.009954491
41.55385,0.01003757
41.57042,0.01014809
41.61895,0.01023197
41.63552,0.01042194
41.66056,0.01039185
41.69041,0.01036209
41.70698,0.01045109
41.74012,0.01057144
41.75668,0.01054104
41.77325,0.01050259
41.78981,0.01046974
41.80672,0.01043713
41.85494,0.01037952
41.87168,0.01034496
41.90466,0.01050064
41.92121,0.01047363
